image_file,center_x,center_y,width,height
img_0095.jpg,1403,513,18,16
img_0096.jpg,1338,518,17,14
img_0097.jpg,1281,524,20,19
img_0098.jpg,1227,533,17,14
img_0099.jpg,1179,541,14,12
img_0100.jpg,1127,546,14,12
img_0101.jpg,1066,548,16,14
img_0102.jpg,1001,549,15,13
img_0103.jpg,934,550,13,12
img_0104.jpg,866,551,15,13
img_0105.jpg,795,553,13,12
img_0106.jpg,728,554,15,14
img_0107.jpg,667,556,11,11
img_0108.jpg,607,558,13,11
img_0109.jpg,493,561,13,11
img_0110.jpg,461,565,12,12
img_0111.jpg,448,568,12,13
img_0112.jpg,472,569,12,12
img_0113.jpg,521,566,13,12
img_0114.jpg,573,560,12,11
img_0115.jpg,617,550,12,11
img_0116.jpg,655,541,11,10
img_0117.jpg,688,533,11,10
img_0118.jpg,719,527,12,10
img_0119.jpg,756,522,10,9
img_0120.jpg,797,517,10,9
img_0121.jpg,837,509,10,9
img_0122.jpg,875,499,9,8
img_0123.jpg,956,487,10,10
img_0124.jpg,1004,481,9,8
img_0125.jpg,1057,472,8,8
img_0126.jpg,1107,461,9,8
img_0127.jpg,1142,449,9,9
img_0128.jpg,1170,438,9,9
img_0129.jpg,1187,429,8,8
img_0130.jpg,1197,418,8,8
img_0131.jpg,1202,409,8,8
img_0132.jpg,1203,403,7,7
img_0133.jpg,1202,400,7,8
img_0134.jpg,1201,397,7,7
img_0135.jpg,1201,391,6,6
img_0136.jpg,1202,380,7,7
img_0137.jpg,1213,367,10,5
img_0138.jpg,1238,349,8,6
img_0139.jpg,1271,328,7,7
img_0140.jpg,1312,310,8,8
img_0141.jpg,1360,290,8,8
img_0142.jpg,1398,275,9,7
img_0143.jpg,1404,267,8,8
img_0144.jpg,1385,256,8,8
img_0145.jpg,1346,246,10,9
img_0146.jpg,1293,238,9,8
img_0147.jpg,1235,230,8,8
img_0148.jpg,1173,226,8,8
img_0149.jpg,1111,222,8,8
img_0150.jpg,1050,220,8,8
img_0151.jpg,985,218,9,10
img_0152.jpg,872,216,10,9
img_0153.jpg,833,219,8,7
img_0154.jpg,816,227,10,10
img_0155.jpg,811,240,9,5
img_0156.jpg,825,247,8,7
img_0157.jpg,864,244,9,9
img_0158.jpg,920,238,8,9
img_0159.jpg,977,233,8,7
img_0160.jpg,1021,235,8,8
img_0161.jpg,1057,239,7,5
img_0162.jpg,1088,241,7,7
img_0163.jpg,1118,245,8,4
img_0164.jpg,1141,243,7,7
img_0165.jpg,1161,236,8,8
img_0166.jpg,1178,226,8,4
img_0167.jpg,1191,220,10,10
img_0168.jpg,1195,228,9,8
img_0169.jpg,1197,242,9,8
img_0170.jpg,1198,257,8,8
img_0171.jpg,1201,265,7,6
img_0172.jpg,1215,268,8,7
img_0173.jpg,1244,266,10,5
img_0174.jpg,1280,259,11,8
img_0175.jpg,1327,249,11,13
img_0176.jpg,1372,242,12,12
img_0177.jpg,1390,246,12,11
img_0178.jpg,1446,245,14,14
img_0179.jpg,1520,242,14,10
img_0180.jpg,1611,236,18,18
img_0181.jpg,1701,236,18,18
img_0182.jpg,1732,254,17,17
img_0183.jpg,1772,272,21,19
img_0184.jpg,1857,280,25,20
img_0185.jpg,1746,376,38,25
img_0186.jpg,1651,399,34,26
img_0187.jpg,1549,420,36,27
img_0188.jpg,1452,441,33,25
img_0189.jpg,1388,459,35,24
img_0190.jpg,1353,463,34,26
img_0191.jpg,1323,466,35,28
img_0192.jpg,1267,470,35,26
img_0193.jpg,1202,473,32,26
img_0194.jpg,1128,475,33,25
img_0195.jpg,1044,481,32,24
img_0196.jpg,966,486,34,24
img_0197.jpg,919,492,34,24
img_0198.jpg,847,497,31,24
img_0199.jpg,757,501,29,25
img_0200.jpg,648,507,32,24
img_0201.jpg,528,512,33,25
img_0202.jpg,406,519,33,24
img_0203.jpg,291,523,30,25
img_0204.jpg,268,523,31,26
img_0205.jpg,358,515,31,25
img_0206.jpg,515,502,29,23
img_0207.jpg,687,479,32,24
img_0208.jpg,864,428,31,24
img_0209.jpg,1044,363,29,23
img_0210.jpg,1241,288,31,24
img_0211.jpg,1439,212,33,28
img_0212.jpg,1607,160,35,33
img_0213.jpg,1683,154,33,28
img_0214.jpg,1682,143,29,26
img_0215.jpg,1617,135,29,26
img_0216.jpg,1508,133,35,29
img_0217.jpg,1369,142,34,25
img_0218.jpg,1223,152,30,26
img_0219.jpg,1115,166,35,26
img_0220.jpg,1013,174,32,27
img_0221.jpg,925,184,33,24
img_0222.jpg,817,191,34,26
img_0223.jpg,698,198,34,26
img_0224.jpg,563,207,34,26
img_0225.jpg,259,226,38,26
img_0226.jpg,169,238,32,29
img_0227.jpg,388,261,32,29
img_0228.jpg,593,290,31,29
img_0229.jpg,755,339,31,26
img_0230.jpg,868,389,30,26
img_0231.jpg,937,431,25,23
img_0232.jpg,993,476,27,22
img_0233.jpg,1032,515,19,20
img_0234.jpg,1054,534,20,19
img_0235.jpg,1066,545,18,16
img_0236.jpg,1073,549,15,13
img_0237.jpg,1091,551,15,14
img_0238.jpg,1125,543,14,12
img_0239.jpg,1177,535,14,13
img_0240.jpg,1316,529,16,13
img_0241.jpg,1453,498,14,12
img_0242.jpg,1531,479,15,13
img_0243.jpg,1607,464,15,13
img_0244.jpg,1669,452,15,12
img_0245.jpg,1704,444,16,16
img_0246.jpg,1707,441,14,12
img_0247.jpg,1689,436,15,11
img_0248.jpg,1260,369,17,12
img_0249.jpg,699,260,17,19
img_0250.jpg,810,637,16,14
img_0251.jpg,144,202,239,145
img_0252.jpg,199,151,259,124
img_0253.jpg,273,201,235,104
img_0254.jpg,275,166,159,135
img_0255.jpg,290,174,186,107
img_0256.jpg,311,187,158,119
img_0257.jpg,317,193,213,85
img_0258.jpg,315,195,187,119
img_0259.jpg,318,197,150,119
img_0260.jpg,382,210,159,121
img_0261.jpg,393,228,161,117
img_0262.jpg,394,229,154,118
img_0263.jpg,394,235,134,110
img_0264.jpg,408,257,161,111
img_0265.jpg,440,292,137,112
img_0266.jpg,484,344,146,101
img_0267.jpg,523,409,109,77
img_0268.jpg,556,456,99,66
img_0269.jpg,578,452,88,63
img_0270.jpg,609,439,73,53
img_0271.jpg,636,431,69,51
img_0272.jpg,661,428,62,45
img_0273.jpg,695,432,51,37
img_0274.jpg,730,411,49,37
img_0275.jpg,759,409,43,33
img_0276.jpg,785,410,40,30
img_0277.jpg,796,403,40,30
img_0278.jpg,803,391,36,29
img_0279.jpg,798,380,37,28
img_0280.jpg,799,367,35,27
img_0281.jpg,799,354,39,30
img_0282.jpg,806,349,35,29
img_0283.jpg,813,351,33,28
img_0284.jpg,815,356,31,26
img_0285.jpg,817,360,31,29
img_0286.jpg,818,357,33,27
img_0287.jpg,817,355,36,27
img_0288.jpg,816,351,34,25
img_0289.jpg,816,348,37,28
img_0290.jpg,816,350,36,28
img_0291.jpg,823,362,34,26
img_0292.jpg,828,383,35,28
img_0293.jpg,835,409,30,26
img_0294.jpg,840,434,33,25
img_0295.jpg,845,450,29,26
img_0296.jpg,845,455,29,23
img_0297.jpg,848,453,25,24
img_0298.jpg,848,447,27,26
img_0299.jpg,847,442,30,24
img_0300.jpg,850,435,25,23
img_0301.jpg,851,431,25,25
img_0302.jpg,851,429,27,24
img_0303.jpg,869,427,30,25
img_0304.jpg,921,427,28,23
img_0305.jpg,1001,426,26,22
img_0306.jpg,1104,419,31,24
img_0307.jpg,1221,402,26,24
img_0308.jpg,1344,386,27,21
img_0309.jpg,1589,374,31,24
img_0310.jpg,1674,386,28,23
img_0311.jpg,1696,382,30,23
img_0312.jpg,1706,370,30,24
img_0313.jpg,1705,357,30,22
img_0314.jpg,1703,345,32,23
img_0315.jpg,1694,324,30,24
img_0316.jpg,1688,301,32,25
img_0317.jpg,1679,282,29,23
img_0318.jpg,1678,274,30,28
img_0319.jpg,1672,262,29,27
img_0320.jpg,1666,233,32,30
img_0321.jpg,1661,200,31,22
img_0322.jpg,1656,175,32,30
img_0323.jpg,1650,171,34,32
img_0324.jpg,1632,167,33,31
img_0325.jpg,1596,164,31,22
img_0326.jpg,1540,161,33,32
img_0327.jpg,1472,165,34,32
img_0328.jpg,1388,179,32,23
img_0329.jpg,1291,195,29,27
img_0330.jpg,1183,215,30,26
img_0331.jpg,1067,234,27,25
img_0332.jpg,944,258,29,24
img_0333.jpg,819,286,26,24
img_0334.jpg,690,313,32,26
img_0335.jpg,568,339,30,25
img_0336.jpg,462,363,32,27
img_0337.jpg,417,383,30,24
img_0338.jpg,391,403,33,27
img_0339.jpg,382,428,33,29
img_0340.jpg,395,472,29,26
img_0341.jpg,401,487,31,25
img_0342.jpg,405,501,30,26
img_0343.jpg,416,506,29,26
img_0344.jpg,427,494,29,24
img_0345.jpg,542,431,23,24
img_0346.jpg,483,471,24,24
img_0347.jpg,501,462,22,17
img_0348.jpg,521,452,23,24
img_0349.jpg,535,460,21,15
img_0350.jpg,540,466,19,15
img_0351.jpg,542,462,20,16
img_0352.jpg,542,457,22,16
img_0353.jpg,541,442,23,17
img_0354.jpg,540,413,21,15
img_0355.jpg,539,382,21,17
img_0356.jpg,542,323,21,20
img_0357.jpg,544,299,19,15
img_0358.jpg,544,277,20,16
img_0359.jpg,541,265,21,20
img_0360.jpg,539,261,21,15
img_0361.jpg,542,259,21,17
img_0362.jpg,547,259,22,17
img_0363.jpg,556,258,22,18
img_0364.jpg,615,251,22,21
img_0365.jpg,747,225,24,23
img_0366.jpg,838,218,22,18
img_0367.jpg,946,217,20,17
img_0368.jpg,1065,215,23,22
img_0369.jpg,1520,156,30,28
img_0370.jpg,1796,88,24,18
img_0371.jpg,1799,88,25,15
img_0372.jpg,1833,77,29,23
img_0373.jpg,1833,77,28,23
img_0374.jpg,1837,72,27,21
img_0375.jpg,1833,73,28,13
img_0376.jpg,1823,82,24,15
img_0377.jpg,1812,89,27,15
img_0378.jpg,1801,97,30,17
img_0379.jpg,1772,111,30,20
img_0380.jpg,1751,127,30,30
img_0381.jpg,1750,137,26,24
img_0382.jpg,1737,150,28,26
img_0383.jpg,1690,181,24,22
img_0384.jpg,1664,200,27,20
img_0385.jpg,1614,236,28,29
img_0386.jpg,1494,313,27,25
img_0387.jpg,1283,423,25,20
img_0388.jpg,1200,455,26,22
img_0389.jpg,1118,491,25,20
img_0390.jpg,1004,557,26,20
img_0391.jpg,985,573,25,21
img_0392.jpg,917,609,23,17
img_0393.jpg,878,627,26,18
img_0394.jpg,823,646,21,21
img_0395.jpg,761,664,23,23
img_0396.jpg,694,684,25,24
img_0397.jpg,476,615,26,23
img_0398.jpg,477,489,30,23
img_0399.jpg,452,463,28,23
img_0400.jpg,412,432,30,23
img_0401.jpg,354,397,30,22
img_0402.jpg,225,325,35,27
img_0403.jpg,200,313,32,24
img_0404.jpg,174,303,34,25
img_0405.jpg,162,299,33,26
img_0406.jpg,156,296,32,25
img_0407.jpg,139,293,32,25
img_0408.jpg,130,292,31,26
img_0409.jpg,130,290,34,28
img_0410.jpg,160,301,36,30
img_0411.jpg,229,318,31,24
img_0412.jpg,268,329,32,27
img_0413.jpg,326,361,34,24
img_0414.jpg,352,372,33,25
img_0415.jpg,373,391,28,26
img_0416.jpg,386,406,30,24
img_0417.jpg,394,424,30,25
img_0418.jpg,401,440,30,24
img_0419.jpg,463,466,35,25
img_0420.jpg,488,479,35,28
img_0421.jpg,494,482,36,28
img_0422.jpg,519,485,44,31
img_0423.jpg,534,484,45,34
img_0424.jpg,543,494,55,39
img_0425.jpg,545,503,51,38
img_0426.jpg,542,490,57,38
img_0427.jpg,548,471,73,48
img_0428.jpg,564,456,64,47
img_0429.jpg,579,467,61,41
img_0430.jpg,573,476,66,45
img_0431.jpg,550,480,81,56
img_0432.jpg,549,501,77,53
img_0433.jpg,556,521,90,59
img_0434.jpg,560,538,84,57
img_0435.jpg,535,567,128,46
img_0436.jpg,454,596,136,92
img_0437.jpg,401,614,156,102
img_0438.jpg,369,623,194,72
